City,PostalCode,Location
Kolkata,700054,Ram Krishna Samadhi Road
Kolkata,700025,Ramkrishna Park
Kolkata,700029,Rash Behari Avenue
Kolkata,700092,Regent Estate
Kolkata,700040,Regent Park
Kolkata,700001,Reserve Bank Building
Kolkata,700040,Russa
Kolkata,700071,Russel Street
Kolkata,700094,S.R.F.T.I.
Kolkata,700026,Sahanagar (Kolkata)
Kolkata,700038,Sahapur
Kolkata,700006,Sahitya Parisad
Kolkata,700015,Sales Tax Building
Kolkata,700012,Sankaritola
Kolkata,700075,Santoshpur Avenue
Kolkata,700075,Santoshpur
Kolkata,700029,Sarat Bose Road
Kolkata,700061,Sarsoona
Kolkata,700002,Satchasipara
Kolkata,700015,Seal Lane
Kolkata,700014,Sealdah
Kolkata,700034,Senhati
Kolkata,700030,Sethbagan
Kolkata,700017,Shakespeare Sarani
Kolkata,700004,Shyambazar Mail
Kolkata,700006,Simla
Kolkata,700050,Sinthee
Kolkata,700041,Sirity
Kolkata,700043,Sonai (Kolkata)
Kolkata,700072,Sooterkin Street
Kolkata,700043,South Eastern Railway
Kolkata,700050,South Sinhee
Kolkata,700026,Southern Market
Kolkata,700007,Strand Road
Kolkata,700065,Subhas Nagar
Kolkata,700010,Subhash Sarabor
Kolkata,700033,T.C.Road
Kolkata,700024,T.G.Road
Kolkata,700002,Tala (Bankura)
Kolkata,700014,Taltala
Kolkata,700015,Tangra
Kolkata,700088,Taratala Road
Kolkata,700088,Telecom Factory
Kolkata,700001,Telephone Bhawan
Kolkata,700063,Thakurpukur
Kolkata,700073,Tiretta Bazar
Kolkata,700033,Tollygunge
Kolkata,700001,Treasury Building
Kolkata,700067,Ultadanga Main Road
Kolkata,700004,Ultadanga
Kolkata,700007,Vaishya Sabha
Kolkata,700075,Viveknagar (Kolkata)
Kolkata,700001,W.B.Assembly House
Kolkata,700062,W.B.Governors Camp.
Kolkata,700023,Watgunge
Kolkata,700001,Writer's Building
Kolkata,700012,Yogayog Bhawan
